model_name,display_name,threshold_rule,threshold,n_test,n_bootstrap_requested,seed,accuracy_point,accuracy_ci_low,accuracy_ci_high,accuracy_n_boot_valid,precision_point,precision_ci_low,precision_ci_high,precision_n_boot_valid,recall_sensitivity_point,recall_sensitivity_ci_low,recall_sensitivity_ci_high,recall_sensitivity_n_boot_valid,specificity_point,specificity_ci_low,specificity_ci_high,specificity_n_boot_valid,f1_score_point,f1_score_ci_low,f1_score_ci_high,f1_score_n_boot_valid,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_n_boot_valid
resnet50,ResNet50,fixed_0_50,0.5,613,2000,2026,0.8580750407830342,0.8287112561174551,0.8858075040783034,2000,0.5734265734265734,0.49285189075630254,0.6595817050224344,2000,0.7592592592592593,0.6759196696696697,0.8392857142857143,2000,0.8792079207920792,0.8490196078431372,0.9083665338645418,2000,0.6533864541832669,0.5813903796461937,0.7224086625888576,2000,0.8914741474147415,0.8496050560533212,0.9263641132516558,2000
resnet50,ResNet50,max_val_f1,0.57,613,2000,2026,0.8776508972267537,0.8499184339314845,0.9037520391517129,2000,0.632,0.5430972906403941,0.7179629629629629,2000,0.7314814814814815,0.6422018348623854,0.8144425353188239,2000,0.9089108910891089,0.8823409608242482,0.9345648410913415,2000,0.6781115879828327,0.6040739314593763,0.7457661850514031,2000,0.8914741474147415,0.8496050560533212,0.9263641132516558,2000
resnet50,ResNet50,max_youden_j,0.54,613,2000,2026,0.8743882544861338,0.8466557911908646,0.9004893964110929,2000,0.6201550387596899,0.5344827586206896,0.7054377564979479,2000,0.7407407407407407,0.6545454545454545,0.8235294117647058,2000,0.902970297029703,0.8759937875751503,0.9288611560064649,2000,0.6751054852320675,0.602034043705978,0.744027450980392,2000,0.8914741474147415,0.8496050560533212,0.9263641132516558,2000
resnet50,ResNet50,high_sensitivity_precision_constrained,0.19,613,2000,2026,0.601957585644372,0.5611745513866232,0.6394779771615008,2000,0.2964071856287425,0.24683442875689712,0.3448352151357949,2000,0.9166666666666666,0.8585834762721555,0.9642857142857143,2000,0.5346534653465347,0.49122807017543857,0.5775258397932816,2000,0.4479638009049774,0.38738379609678014,0.5034535195290343,2000,0.8914741474147415,0.8496050560533212,0.9263641132516558,2000
mobilenetv2,MobileNetV2,fixed_0_50,0.5,613,2000,2026,0.8531810766721044,0.8238172920065253,0.8809135399673735,2000,0.5661764705882353,0.4797283564051857,0.6525511276089088,2000,0.7129629629629629,0.6262626262626263,0.7979822261072261,2000,0.8831683168316832,0.8535130757404619,0.9118881147540984,2000,0.6311475409836066,0.5523789599521818,0.7011092162714456,2000,0.8708470847084708,0.8252346813277727,0.9096641964554958,2000
mobilenetv2,MobileNetV2,max_val_f1,0.69,613,2000,2026,0.8858075040783034,0.8597063621533442,0.9102773246329527,2000,0.7261904761904762,0.6284821428571429,0.8256208728107951,2000,0.5648148148148148,0.46808510638297873,0.6571428571428571,2000,0.9544554455445544,0.9352923315075018,0.9722772277227723,2000,0.6354166666666666,0.5513430777716493,0.7111168384879725,2000,0.8708470847084708,0.8252346813277727,0.9096641964554958,2000
mobilenetv2,MobileNetV2,max_youden_j,0.35,613,2000,2026,0.8042414355628059,0.7716150081566069,0.835236541598695,2000,0.46629213483146065,0.39304362405390736,0.54375728626943,2000,0.7685185185185185,0.6831564166031988,0.845360824742268,2000,0.8118811881188119,0.776,0.8458498023715415,2000,0.5804195804195804,0.5072437888198759,0.6495217809818338,2000,0.8708470847084708,0.8252346813277727,0.9096641964554958,2000
mobilenetv2,MobileNetV2,high_sensitivity_precision_constrained,0.13,613,2000,2026,0.6247960848287113,0.5840130505709625,0.6639477977161501,2000,0.309375,0.2580546210172175,0.3630573248407643,2000,0.9166666666666666,0.8623774122113256,0.9633110925771475,2000,0.5623762376237624,0.5177865612648221,0.6071462780514504,2000,0.46261682242990654,0.40195961159583454,0.5217492652275261,2000,0.8708470847084708,0.8252346813277727,0.9096641964554958,2000
densenet121,DenseNet121,fixed_0_50,0.5,613,2000,2026,0.8450244698205547,0.8156606851549756,0.8711256117455138,2000,0.552,0.46277813095994913,0.6386554621848739,2000,0.6388888888888888,0.5438407441016334,0.7288135593220338,2000,0.8891089108910891,0.8608349900596421,0.9148514851485149,2000,0.592274678111588,0.5128048780487805,0.6640316205533597,2000,0.8558122478914558,0.8102776148654496,0.8970163218133331,2000
densenet121,DenseNet121,max_val_f1,0.61,613,2000,2026,0.8760195758564437,0.8482871125611745,0.9021207177814029,2000,0.6702127659574468,0.5754413413039416,0.7631649688737974,2000,0.5833333333333334,0.48695652173913045,0.6764780154486036,2000,0.9386138613861386,0.9158507817984305,0.9582504970178927,2000,0.6237623762376238,0.5414062996126245,0.6985783545750941,2000,0.8558122478914558,0.8102776148654496,0.8970163218133331,2000
