model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
resnet50,ResNet50,0.21,0.6356209150326797,0.3092105263157895,0.8785046728971962,0.5841584158415841,0.45742092457420924,0.8727491440732859,94,210,295,13
resnet50,ResNet50,0.22,0.6503267973856209,0.31864406779661014,0.8785046728971962,0.601980198019802,0.46766169154228854,0.8727491440732859,94,201,304,13
resnet50,ResNet50,0.23,0.6584967320261438,0.32413793103448274,0.8785046728971962,0.6118811881188119,0.473551637279597,0.8727491440732859,94,196,309,13
resnet50,ResNet50,0.24,0.6666666666666666,0.3298245614035088,0.8785046728971962,0.6217821782178218,0.47959183673469385,0.8727491440732859,94,191,314,13
resnet50,ResNet50,0.25,0.6748366013071896,0.3345323741007194,0.8691588785046729,0.6336633663366337,0.4831168831168831,0.8727491440732859,93,185,320,14
resnet50,ResNet50,0.26,0.6879084967320261,0.34328358208955223,0.8598130841121495,0.6514851485148515,0.49066666666666664,0.8727491440732859,92,176,329,15
resnet50,ResNet50,0.27,0.6977124183006536,0.3511450381679389,0.8598130841121495,0.6633663366336634,0.4986449864498645,0.8727491440732859,92,170,335,15
resnet50,ResNet50,0.28,0.7058823529411765,0.3557312252964427,0.8411214953271028,0.6772277227722773,0.5,0.8727491440732859,90,163,342,17
resnet50,ResNet50,0.29,0.7173202614379085,0.36475409836065575,0.8317757009345794,0.693069306930693,0.5071225071225072,0.8727491440732859,89,155,350,18
resnet50,ResNet50,0.3,0.7254901960784313,0.37130801687763715,0.822429906542056,0.7049504950495049,0.5116279069767442,0.8727491440732859,88,149,356,19
resnet50,ResNet50,0.31,0.7320261437908496,0.3776824034334764,0.822429906542056,0.7128712871287128,0.5176470588235295,0.8727491440732859,88,145,360,19
resnet50,ResNet50,0.32,0.7483660130718954,0.39461883408071746,0.822429906542056,0.7326732673267327,0.5333333333333333,0.8727491440732859,88,135,370,19
resnet50,ResNet50,0.33,0.7581699346405228,0.4046511627906977,0.8130841121495327,0.7465346534653465,0.5403726708074534,0.8727491440732859,87,128,377,20
resnet50,ResNet50,0.34,0.7679738562091504,0.41626794258373206,0.8130841121495327,0.7584158415841584,0.5506329113924051,0.8727491440732859,87,122,383,20
resnet50,ResNet50,0.35,0.7777777777777778,0.42857142857142855,0.8130841121495327,0.7702970297029703,0.5612903225806452,0.8727491440732859,87,116,389,20
