epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.877532035508633,0.8170414029383192,0.714185393258427,0.8447712418300654,0.3527751646284102,0.546875,0.7485029940119761,0.6542056074766355,0.7068598210481466,0.8851485148514852,0.479539641943734,0.5957446808510638,0.8060980722832138,0.8559637272138428
2,0.7188436928289266,0.7310687326917461,0.7966994382022472,0.8104575163398693,0.4549600912200684,0.4742857142857143,0.798,0.7757009345794392,0.7964224872231687,0.8178217821782178,0.579520697167756,0.5886524822695035,0.8781550255536628,0.8768760988248359
3,0.6435889584606056,0.7702573046964758,0.8268960674157303,0.8562091503267973,0.5054811205846529,0.5714285714285714,0.8266932270916335,0.7102803738317757,0.8269394714407502,0.8871287128712871,0.6273620559334845,0.6333333333333333,0.9046193741657412,0.8649208846118256
4,0.6147759520481982,0.7518785747827268,0.8451544943820225,0.7728758169934641,0.5375494071146245,0.4230769230769231,0.8192771084337349,0.822429906542056,0.8506382978723405,0.7623762376237624,0.649164677804296,0.5587301587301587,0.9130137571562846,0.8817063014712687
5,0.5531412599135146,0.7382227361591813,0.84375,0.8316993464052288,0.5345679012345679,0.5128205128205128,0.8642714570858283,0.7476635514018691,0.8393694077545804,0.8495049504950495,0.6605644546147978,0.6083650190114068,0.9303778467776844,0.8832053298787822
