epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.9112365165734475,0.8266404243855695,0.7313904494382022,0.7745098039215687,0.3577586206896552,0.41711229946524064,0.6626746506986028,0.7289719626168224,0.746058798466127,0.7841584158415842,0.4646606018194542,0.5306122448979592,0.7930376996326903,0.8284075136485611
2,0.7197370961298052,0.8084486220397201,0.8019662921348315,0.7728758169934641,0.4625445897740785,0.4207920792079208,0.7764471057884231,0.794392523364486,0.8074137196420963,0.7683168316831683,0.5797317436661699,0.5501618122977346,0.8764592672345977,0.8507448875728695
3,0.6399966550090248,0.7372299144470614,0.8455056179775281,0.7892156862745098,0.541005291005291,0.445,0.8147410358565738,0.8317757009345794,0.8520886615515771,0.7801980198019802,0.6502384737678856,0.5798045602605864,0.9109444574642607,0.8802257795873045
4,0.5963866357789998,0.7754611965098412,0.8458567415730337,0.8513071895424836,0.5392405063291139,0.5579710144927537,0.8502994011976048,0.719626168224299,0.8449083936940776,0.8792079207920792,0.6599535243996901,0.6285714285714286,0.9196834282011179,0.8727491440732859
5,0.5155553129938952,0.8294609668208104,0.8781601123595506,0.7712418300653595,0.6132352941176471,0.417910447761194,0.8323353293413174,0.7850467289719626,0.887942053685556,0.7683168316831683,0.7061812023708721,0.5454545454545454,0.9393875223562249,0.871509206995466
