epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.9757192456864076,0.876761838501575,0.6853932584269663,0.7140522875816994,0.311787072243346,0.359504132231405,0.656,0.8130841121495327,0.6916524701873935,0.693069306930693,0.422680412371134,0.498567335243553,0.7560706984667802,0.8232071805311372
2,0.7631123516424458,0.771182314243192,0.7882724719101124,0.7990196078431373,0.44100801832760594,0.45652173913043476,0.77,0.7850467289719626,0.7921635434412265,0.801980198019802,0.5608157319737801,0.5773195876288659,0.8625911413969336,0.8599056167298973
3,0.6687435246248025,0.7773489449538437,0.807935393258427,0.7696078431372549,0.47325581395348837,0.4095744680851064,0.812375249500998,0.719626168224299,0.8069876438005965,0.7801980198019802,0.5980896399706098,0.5220338983050847,0.8968692355382971,0.8567039881558249
4,0.6054468645425507,0.791739828835905,0.8356741573033708,0.8235294117647058,0.5182926829268293,0.4966887417218543,0.8534136546184738,0.7009345794392523,0.8319148936170213,0.8495049504950495,0.644916540212443,0.5813953488372093,0.9166564128855849,0.8631997779217174
5,0.544642797877857,0.8096873910208933,0.8535814606741573,0.8398692810457516,0.5544041450777202,0.5343511450381679,0.8542914171656687,0.6542056074766355,0.8534299105240732,0.8792079207920792,0.6724273369992144,0.5882352941176471,0.9330363559204556,0.8654205607476634
